local_govt_area,city_or_state,number_households,net_worth_per_hh,income_per_taxpayer,assets_per_hh,liabilities_per_household,debt_to_asset_ratio,net_owner_occ_housing
Mandurah (C),WA Bal.,24520,412.9,44892,475.8,62.9,0.132,182.8
Delatite (S),VIC Bal.,8360,411.4,37719,448.9,37.5,0.084,112.4
Murrurundi (A),NSW Bal.,979,411.1,37900,443.7,32.6,0.073,90.8
Adelaide (C),Adelaide,7046,411.0,65826,465.7,54.6,0.117,99.8
Wattle Range (DC),SA Bal.,4950,409.7,43852,452.8,43.1,0.095,97.0
Coffs Harbour (C),NSW Bal.,25476,409.6,38154,458.5,48.8,0.106,185.9
Singleton (A),NSW Bal.,7580,408.7,54551,480.5,71.7,0.149,155.0
Pine Rivers (S),Brisbane,47061,408.6,44420,495.4,86.7,0.175,179.5
Guyra (A),NSW Bal.,1742,407.0,37170,442.5,35.6,0.08,56.5
Quirindi (A),NSW Bal.,2026,406.6,40296,441.3,34.7,0.079,68.1
Alpine (S),VIC Bal.,5114,406.4,37560,443.8,37.4,0.084,104.5
Greater Geelong (C),VIC Bal.,78757,405.7,43715,458.1,52.4,0.114,175.6
Corowa (A),NSW Bal.,3665,405.4,41216,447.9,42.5,0.095,119.6
Beaudesert (S),Brisbane,20373,405.4,39641,492.5,87.2,0.177,179.1
East Gippsland (S),VIC Bal.,17267,405.3,37168,440.2,34.9,0.079,142.2
Dalrymple (S),QLD Bal.,1349,405.2,43639,456.0,50.8,0.111,65.7
Forbes (A),NSW Bal.,3854,405.0,37259,442.4,37.5,0.085,90.1
Coonabarabran (A),NSW Bal.,2735,404.7,36991,437.6,32.9,0.075,66.8
Katanning (S),WA Bal.,1590,404.7,41779,447.4,42.7,0.095,53.2
Tumbarumba (A),NSW Bal.,1434,403.6,40644,435.6,31.9,0.073,68.0
Whittlesea (C),Melbourne,39496,403.1,40006,478.4,75.3,0.157,191.9
Narromine (A),NSW Bal.,2679,403.0,38564,441.0,38.0,0.086,68.2
Berrigan (A),NSW Bal.,3326,402.8,38394,440.4,37.6,0.085,78.2
Mundaring (S),Perth,12462,402.6,44485,481.4,78.8,0.164,170.3
Cambooya (S),QLD Bal.,1851,401.5,39536,480.4,78.8,0.164,133.8
Vincent (T),Perth,12554,401.1,52937,477.0,75.9,0.159,166.2
Sydney (C),Sydney,16391,400.4,58320,472.9,72.5,0.153,136.3
Melbourne (C),Melbourne,29511,400.4,61220,464.2,63.9,0.138,106.9
Yarra (C),Melbourne,31873,400.4,54421,478.5,78.1,0.163,145.2
Young (A),NSW Bal.,4655,400.3,37829,437.3,37.0,0.085,116.8
The Coorong (DC),SA Bal.,2438,399.8,37538,435.6,35.8,0.082,75.9
Wangaratta (RC),VIC Bal.,10571,399.5,39267,439.5,40.0,0.091,117.7
Mount Barker (DC),Adelaide,9660,399.4,41913,472.6,73.3,0.155,162.9
Oberon (A),NSW Bal.,1954,399.3,44443,454.4,55.1,0.121,119.3
Parry (A),NSW Bal.,4691,399.3,39123,450.7,51.4,0.114,103.0
Balonne (S),QLD Bal.,1993,398.9,37495,443.2,44.3,0.1,46.2
Greater Shepparton (C),VIC Bal.,22104,398.7,38651,448.5,49.8,0.111,112.7
Greenough (S),WA Bal.,4410,398.1,42173,473.8,75.7,0.16,109.7
Waroona (S),WA Bal.,1407,397.9,46708,458.0,60.0,0.131,114.1
Horsham (RC),VIC Bal.,7527,397.8,39186,433.8,36.0,0.083,117.1
Clifton (S),QLD Bal.,981,397.7,35830,439.0,41.3,0.094,55.7
Glenelg (S),VIC Bal.,8204,397.1,41906,433.1,36.0,0.083,108.0
Kilkivan (S),QLD Bal.,1359,396.7,37461,440.0,43.4,0.099,86.8
Campbelltown (C),Adelaide,19068,396.5,42626,444.4,47.9,0.108,171.2
Woocoo (S),QLD Bal.,1170,396.3,37421,452.0,55.7,0.123,140.8
Blacktown (C),Sydney,89433,395.7,43144,500.3,104.5,0.209,191.9
Pristine Waters (A),NSW Bal.,4450,393.0,37509,436.9,43.9,0.1,145.2
Kalamunda (S),Perth,17585,392.1,44313,465.5,73.3,0.157,157.3
Swan Hill (RC),VIC Bal.,8126,392.0,36792,424.7,32.7,0.077,88.8
